순번,학기,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,소속,강의실,시간표(교시),시간표(시간),교시유형,학점,시수,이론,실습,정원,수강,수강(남),수강(여),재수강,수업구분,수업유형,집중이수제,성적평가,원어강의,원어강의구분,원어강사료지급,캡스톤디자인,수강대상,수업방법,비고
1228,2026년 1학기,예술체육대학,스포츠과학부,4,전공심화,전공심화,0011483001,기능재활운동2,Functional Rehabilitation Training 2,전경규,스포츠과학부,"제16호관 예술체육대학-311 강의실(소)[16-311], 제20호관 스포츠센터-106 에어로빅실[20-106]", [16-311:수(3)(4)] [20-106:금(5)(6)], [16-311:수(11:00~11:50)(12:00~12:50)] [20-106:금(13:00~13:50)(14:00~14:50)],50분(표준),3,4,2,2,27,26,24,2,0,일반과목,이론실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1229,2026년 1학기,예술체육대학,스포츠과학부,4,전공심화,전공심화,0011484001,퍼스널트레이닝,Personal Training,이승원,스포츠과학부,제20호관 스포츠센터-208 헬스장[20-208], [20-208:화(4)(5)], [20-208:화(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,20,20,20,0,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1230,2026년 1학기,예술체육대학,스포츠과학부,4,전공심화,전공심화,0012449001,스포츠과학캡스톤디자인1,Capstone Design in Sport Science1,변경호,스포츠과학부,제16호관 예술체육대학-405A 연구실[16-405A]," [16-405A:월(7)(8),목(7)(8)]"," [16-405A:월(15:00~15:50)(16:00~16:50),목(15:00~15:50)(16:00~16:50)]",50분(표준),3,4,2,2,4,4,4,0,0,일반과목,이론실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1231,2026년 1학기,예술체육대학,스포츠과학부,4,전공심화,전공심화,HFA6015001,야구,BASEBALL,강년주,스포츠과학부,대운동장본부석-103 마사토운동장[ZC-103], [ZC-103:목(2)(3)], [ZC-103:목(10:00~10:50)(11:00~11:50)],50분(표준),1,2,0,2,20,19,16,3,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1232,2026년 1학기,예술체육대학,운동건강학부,1,전공기초,전공기초,0007800032,자기설계세미나 I,Self - Design Seminar I,임명주,운동건강학부,제16호관 예술체육대학-312 강의실(소)[16-312], [16-312:월(9)], [16-312:월(17:00~17:50)],50분(표준),1,1,1,0,16,16,16,0,1,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
1233,2026년 1학기,예술체육대학,운동건강학부,1,전공기초,전공기초,0007800033,자기설계세미나 I,Self - Design Seminar I,성호준,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:화(5)], [16-302A:화(13:00~13:50)],50분(표준),1,1,1,0,17,17,13,4,1,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
1234,2026년 1학기,예술체육대학,운동건강학부,1,전공기초,전공기초,0007800034,자기설계세미나 I,Self - Design Seminar I,김동일,운동건강학부,제16호관 예술체육대학-313A 강의실(소)[16-313A], [16-313A:화(5)], [16-313A:화(13:00~13:50)],50분(표준),1,1,1,0,17,17,12,5,1,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
1235,2026년 1학기,예술체육대학,운동건강학부,1,전공기초,전공기초,0007800035,자기설계세미나 I,Self - Design Seminar I,김남웅,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:목(5)], [16-302B:목(13:00~13:50)],50분(표준),1,1,1,0,17,17,8,9,1,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
1236,2026년 1학기,예술체육대학,운동건강학부,1,전공기초,전공기초,0011952001,기초인체해부학,Basic Human Anatomy,박영민,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B]," [16-302B:화(7-8A),목(8B-9)]"," [16-302B:화(15:00~16:15),목(16:30~17:45)]",75분,3,3,3,0,37,37,29,8,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1237,2026년 1학기,예술체육대학,운동건강학부,1,전공기초,전공기초,0011952002,기초인체해부학,Basic Human Anatomy,박영민,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B]," [16-302B:화(8B-9),목(7-8A)]"," [16-302B:화(16:30~17:45),목(15:00~16:15)]",75분,3,3,3,0,38,38,24,14,6,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1238,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0001357001,웨이트트레이닝,Weight Training,황순범,운동건강학부,제20호관 스포츠센터-208 헬스장[20-208], [20-208:수(6)(7)], [20-208:수(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,19,19,13,6,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1239,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0001357002,웨이트트레이닝,Weight Training,황순범,운동건강학부,제20호관 스포츠센터-208 헬스장[20-208], [20-208:수(8)(9)], [20-208:수(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,18,18,14,4,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1240,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0001357003,웨이트트레이닝,Weight Training,이주희,운동건강학부,제20호관 스포츠센터-208 헬스장[20-208], [20-208:금(6)(7)], [20-208:금(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,15,13,8,5,1,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1241,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0001357004,웨이트트레이닝,Weight Training,이주희,운동건강학부,제20호관 스포츠센터-208 헬스장[20-208], [20-208:금(8)(9)], [20-208:금(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,18,17,12,5,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1242,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0006970001,건강워킹&러닝,Walking and Running for Health Promotion,민은지,운동건강학부,대운동장본부석-102 잔디운동장[ZC-102], [ZC-102:금(1)(2)], [ZC-102:금(09:00~09:50)(10:00~10:50)],50분(표준),1,2,0,2,30,29,25,4,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1243,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0006970002,건강워킹&러닝,Walking and Running for Health Promotion,민은지,운동건강학부,대운동장본부석-102 잔디운동장[ZC-102], [ZC-102:금(3)(4)], [ZC-102:금(11:00~11:50)(12:00~12:50)],50분(표준),1,2,0,2,31,31,22,9,1,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1244,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0009987001,수영기초,Basic swimming,전재희,운동건강학부,"골프연습장/스포츠센터-110-1호  수영장(4,5,6레인)[20-110-1]", [20-110-1:금(8)(9)], [20-110-1:금(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,21,21,21,0,1,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1245,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0009987002,수영기초,Basic swimming,전재희,운동건강학부,"골프연습장/스포츠센터-110-1호  수영장(4,5,6레인)[20-110-1]", [20-110-1:금(6)(7)], [20-110-1:금(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,20,19,18,1,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1246,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0009987003,수영기초,Basic swimming,전재희,운동건강학부,제20호관 스포츠센터-110 수영장[20-110], [20-110:월(8)(9)], [20-110:월(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,23,23,8,15,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1247,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0011953001,건강운동개론,Healthy Life and Exercise,황문현,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:목(1)(2)], [16-302B:목(09:00~09:50)(10:00~10:50)],50분(표준),2,2,2,0,30,29,25,4,2,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1248,2026년 1학기,예술체육대학,운동건강학부,1,전공심화,전공심화,0011953002,건강운동개론,Healthy Life and Exercise,황문현,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:목(3)(4)], [16-302B:목(11:00~11:50)(12:00~12:50)],50분(표준),2,2,2,0,30,30,21,9,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1249,2026년 1학기,예술체육대학,운동건강학부,2,전공기초,전공기초,0009805001,운동과스포츠생리학,Exercise&Sport Physiology,황문현,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B]," [16-302B:월(1-2A),수(4-5A)]"," [16-302B:월(09:00~10:15),수(12:00~13:15)]",75분,3,3,3,0,40,39,25,14,5,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1250,2026년 1학기,예술체육대학,운동건강학부,2,전공기초,전공기초,0009805002,운동과스포츠생리학,Exercise&Sport Physiology,황문현,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B]," [16-302B:월(2B-3),수(5B-6)]"," [16-302B:월(10:30~11:45),수(13:30~14:45)]",75분,3,3,3,0,37,37,29,8,6,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1251,2026년 1학기,예술체육대학,운동건강학부,2,전공기초,전공기초,HFC6056001,해양훈련,Marine Training,성창훈,운동건강학부,제20호관 스포츠센터-110 수영장[20-110], [20-110:월(6)(7)], [20-110:월(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,20,20,20,0,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1252,2026년 1학기,예술체육대학,운동건강학부,2,전공기초,전공기초,HFC6056002,해양훈련,Marine Training,안효성,기초교육원,"골프연습장/스포츠센터-110-1호  수영장(4,5,6레인)[20-110-1]", [20-110-1:목(6)(7)], [20-110-1:목(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,20,18,14,4,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1253,2026년 1학기,예술체육대학,운동건강학부,2,전공기초,전공기초,HFC6056003,해양훈련,Marine Training,전재희,운동건강학부,"골프연습장/스포츠센터-110-1호  수영장(4,5,6레인)[20-110-1]", [20-110-1:월(6)(7)], [20-110-1:월(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,24,24,15,9,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1254,2026년 1학기,예술체육대학,운동건강학부,2,전공핵심,전공핵심,0009814001,기능해부학,Functional Anatomy,홍성현,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:수(1-2A)(2B-3)], [16-302B:수(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,23,23,15,8,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1255,2026년 1학기,예술체육대학,운동건강학부,2,전공핵심,전공핵심,0009814002,기능해부학,Functional Anatomy,홍성현,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:화(1-2A)(2B-3)], [16-302B:화(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,22,21,13,8,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1256,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0006966001,스포츠클라이밍,Sports Climbing,도은나,운동건강학부,가상건물-199 외부강의실[ZZ-199], [ZZ-199:금(3)(4)], [ZZ-199:금(11:00~11:50)(12:00~12:50)],50분(표준),1,2,0,2,20,14,11,3,0,일반과목,체육실기,일반(1~15주),절대평가,Y,글로벌강의(ES),미지급,아니오,,,
1257,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0006966002,스포츠클라이밍,Sports Climbing,도은나,운동건강학부,가상건물-199 외부강의실[ZZ-199], [ZZ-199:금(5)(6)], [ZZ-199:금(13:00~13:50)(14:00~14:50)],50분(표준),1,2,0,2,20,18,9,9,0,일반과목,체육실기,일반(1~15주),절대평가,Y,글로벌강의(ES),미지급,아니오,,,
1258,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0009807001,GX,Group Exercise,임명주,운동건강학부,제20호관 스포츠센터-205 무도장[20-205], [20-205:화(2)(3)], [20-205:화(10:00~10:50)(11:00~11:50)],50분(표준),1,2,0,2,30,16,6,10,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1259,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0009807002,GX,Group Exercise,임명주,운동건강학부,제20호관 스포츠센터-205 무도장[20-205], [20-205:화(4)(5)], [20-205:화(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,30,30,18,12,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1260,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0009993001,장애및질환에따른신체활동,Physical Activity According to Disability and Disease,김동일,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:월(8)(9)], [16-302A:월(16:00~16:50)(17:00~17:50)],50분(표준),2,2,2,0,32,32,24,8,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1261,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0010098001,인도어스포츠,Indoor Sports,신기성,운동건강학부,제21호관 체육관-101A 메인플로어[21-101A], [21-101A:화(6)(7)], [21-101A:화(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,30,27,25,2,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1262,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0010098002,인도어스포츠,Indoor Sports,신기성,운동건강학부,제21호관 체육관-101A 메인플로어[21-101A], [21-101A:화(8)(9)], [21-101A:화(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,30,17,11,6,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1263,2026년 1학기,예술체육대학,운동건강학부,2,전공심화,전공심화,0011954001,스포츠경제학,Sports Economics,성호준,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:월(4)(5)], [16-302A:월(12:00~12:50)(13:00~13:50)],50분(표준),2,2,2,0,31,31,24,7,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1264,2026년 1학기,예술체육대학,운동건강학부,3,전공기초,전공기초,EH06133001,생체역학,BIOMECHANICS,김남웅,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B]," [16-302B:화(4-5A),수(8B-9)]"," [16-302B:화(12:00~13:15),수(16:30~17:45)]",75분,3,3,3,0,30,28,18,10,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1265,2026년 1학기,예술체육대학,운동건강학부,3,전공기초,전공기초,EH06133002,생체역학,BIOMECHANICS,김남웅,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B]," [16-302B:화(5B-6),수(7-8A)]"," [16-302B:화(13:30~14:45),수(15:00~16:15)]",75분,3,3,3,0,30,29,27,2,1,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1266,2026년 1학기,예술체육대학,운동건강학부,3,전공핵심,전공핵심,0011955001,운동부하검사,Clinical Exercise Test,윤철수,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:금(6)(7)], [16-302B:금(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,16,6,6,0,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1267,2026년 1학기,예술체육대학,운동건강학부,3,전공핵심,전공핵심,0011955002,운동부하검사,Clinical Exercise Test,윤철수,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:금(8)(9)], [16-302B:금(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,15,9,7,2,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1268,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0002141001,요가,Yoga,임명주,운동건강학부,제20호관 스포츠센터-205 무도장[20-205], [20-205:월(4)(5)], [20-205:월(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,30,29,17,12,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1269,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0002141002,요가,Yoga,임명주,운동건강학부,제20호관 스포츠센터-205 무도장[20-205], [20-205:월(6)(7)], [20-205:월(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,30,11,2,9,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1270,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0002142001,운동영양학,Exercise Nutrition,김태완,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:금(1-2A)(2B-3)], [16-302B:금(09:00~10:15)(10:30~11:45)],75분,3,3,3,0,32,32,29,3,1,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1271,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0006965001,운동발달학습,Motor Development Learning,성창훈,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A]," [16-302A:월(2B-3),목(5B-6)]"," [16-302A:월(10:30~11:45),목(13:30~14:45)]",75분,3,3,3,0,30,15,12,3,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1272,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0009995001,운동건강과학실습,Physiological measurement and assessment in Health & Kinesiology,박영민,운동건강학부,제16호관 예술체육대학-403 스포츠 생리학실[16-403], [16-403:월(6)(7)], [16-403:월(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,10,7,2,5,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1273,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0009995002,운동건강과학실습,Physiological measurement and assessment in Health & Kinesiology,박영민,운동건강학부,제16호관 예술체육대학-403 스포츠 생리학실[16-403], [16-403:월(4)(5)], [16-403:월(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,10,10,6,4,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1274,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0011094001,필드골프,Field Golf,성창훈,운동건강학부,제20호관 스포츠센터-211 골프타석[20-211], [20-211:월(8)(9)], [20-211:월(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,20,18,11,7,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1275,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0011094002,필드골프,Field Golf,성창훈,운동건강학부,제20호관 스포츠센터-211 골프타석[20-211], [20-211:목(8)(9)], [20-211:목(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,20,17,8,9,1,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1276,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0011956001,Aqua Therapy,Aqua Therapy,김동일,운동건강학부,제20호관 스포츠센터-110 수영장[20-110], [20-110:화(2)(3)], [20-110:화(10:00~10:50)(11:00~11:50)],50분(표준),1,2,0,2,30,10,8,2,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1277,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0011957001,장애운동재활이론및실습심화,Advanced Theory and Practice of Disability Exercise Rehabilitation,김동일,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A]," [16-302A:화(8B-9),목(4-5A)]"," [16-302A:화(16:30~17:45),목(12:00~13:15)]",75분,3,3,3,0,30,9,7,2,0,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1278,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0011958001,장애질환별체형교정기초,Posture Correction for Disabilities and Conditions Basic,김윤성,운동건강학부,제20호관 스포츠센터-205 무도장[20-205], [20-205:목(1)(2)], [20-205:목(09:00~09:50)(10:00~10:50)],50분(표준),1,2,0,2,30,13,6,7,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1279,2026년 1학기,예술체육대학,운동건강학부,3,전공심화,전공심화,0011959001,퍼포먼스트레이닝기초,Performance Training Basic,홍성현,운동건강학부,제21호관 체육관-206A 관람석(트랙)[21-206A], [21-206A:수(4)(5)], [21-206A:수(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,15,15,11,4,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1280,2026년 1학기,예술체육대학,운동건강학부,4,전공핵심,전공핵심,0011960001,건강운동관리사세미나,Seminar for Exercise Specialist,김성언,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:금(2)(3)(4)(5)], [16-302A:금(10:00~10:50)(11:00~11:50)(12:00~12:50)(13:00~13:50)],50분(표준),2,4,0,4,30,14,12,2,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1281,2026년 1학기,예술체육대학,운동건강학부,4,전공핵심,전공핵심,0011960002,건강운동관리사세미나,Seminar for Exercise Specialist,김성언,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:금(6)(7)(8)(9)], [16-302A:금(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,4,0,4,30,7,7,0,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1282,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0002889001,현장지도실습1,Internship Ⅰ,성호준,운동건강학부,제16호관 예술체육대학-313A 강의실(소)[16-313A], [16-313A:목(4)(5)], [16-313A:목(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,30,22,20,2,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1283,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0002889002,현장지도실습1,Internship Ⅰ,성호준,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:월(8)(9)], [16-302B:월(16:00~16:50)(17:00~17:50)],50분(표준),1,2,0,2,30,25,18,7,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1284,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0002906001,운동코칭론,Couching Theory in Sports & Exercise,박상혁,스포츠과학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A]," [16-302A:화(1-2A),수(2B-3)]"," [16-302A:화(09:00~10:15),수(10:30~11:45)]",75분,3,3,3,0,30,30,20,10,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1285,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0009817001,펜싱,Fencing,안효준,운동건강학부,제20호관 스포츠센터-205 무도장[20-205], [20-205:수(4)(5)], [20-205:수(12:00~12:50)(13:00~13:50)],50분(표준),1,2,0,2,25,25,19,6,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1286,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0011089001,운동과학캡스톤디자인,Capstone design Sports science,박영민,운동건강학부,제16호관 예술체육대학-403 스포츠 생리학실[16-403], [16-403:월(2)(3)], [16-403:월(10:00~10:50)(11:00~11:50)],50분(표준),1,2,0,2,10,3,2,1,0,일반과목,체육실기,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1287,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0011090001,질환및장애별재활지도법,Exercise rehabilitation Training Methods for disease and disability,김동일,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:목(8)(9)], [16-302A:목(16:00~16:50)(17:00~17:50)],50분(표준),2,2,2,0,30,9,7,2,0,일반과목,강의(이론),일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1288,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0011961001,생체역학실습,Methods in Biomechanics,김남웅,운동건강학부,제16호관 예술체육대학-402 선수트레이닝센터[16-402], [16-402:목(6)(7)], [16-402:목(14:00~14:50)(15:00~15:50)],50분(표준),1,2,0,2,11,11,7,4,0,일반과목,실험실습,일반(1~15주),절대평가,N,비대상,미지급,아니오,,,
1289,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0011962001,스포츠영어1,Sports English 1,성호준,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:화(6)(7)], [16-302A:화(14:00~14:50)(15:00~15:50)],50분(표준),2,2,2,0,20,20,16,4,0,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
1290,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,0011963001,스포츠소비자행동론,Sports Consumer Behavior,성호준,운동건강학부,제16호관 예술체육대학-302B 강의실(대)-2[16-302B], [16-302B:월(6)(7)], [16-302B:월(14:00~14:50)(15:00~15:50)],50분(표준),2,2,2,0,30,14,8,6,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
1291,2026년 1학기,예술체육대학,운동건강학부,4,전공심화,전공심화,HFC6080001,운동재활론,Exercise Rehabilitation,김남웅,운동건강학부,제16호관 예술체육대학-302A 강의실(대)-2[16-302A], [16-302A:목(1)(2)], [16-302A:목(09:00~09:50)(10:00~10:50)],50분(표준),2,2,2,0,23,23,19,4,0,일반과목,강의(이론),일반(1~15주),절대평가,Y,원어강의(EN),지급,아니오,,,
1292,2026년 1학기,사범대학,국어교육과,1,전공기초,전공기초,0011097002,자기설계세미나,Self Design Seminar,김윤신,국어교육과,미추홀타워  별관A동-211 강의실[NC-211], [NC-211:금(3)], [NC-211:금(11:00~11:50)],50분(표준),1,1,1,0,17,17,7,10,0,일반과목,자기설계세미나,일반(1~15주),이수인정,N,비대상,미지급,아니오,,,
1293,2026년 1학기,사범대학,국어교육과,1,전공핵심,전공핵심,0004864001,의사소통교육론,Pedagogical Theory of Communication,김평원,국어교육과,"미추홀타워  별관A동-205 강의실[NC-205], 미추홀타워  별관A동-211 강의실[NC-211]", [NC-205:목(7-8A)] [NC-211:금(7-8A)], [NC-205:목(15:00~16:15)] [NC-211:금(15:00~16:15)],75분,3,3,3,0,19,19,8,11,0,일반과목,강의(이론),일반(1~15주),상대평가,N,비대상,미지급,아니오,,,
